Pregunta,Respuesta
¿Cuales son los objetivos del estudio de viabilidad del sistema en la metodología métrica?,Analizar las necesidades del cliente para dar una solución a corto plazo definiendo un proyecto o varios.
Describe como se debe especificar un modelo de dominio en la documentación de un proyecto respecto al modelo de dominio. ¿Basta con poner un diagrama o es necesario añadir algún contenido u apartado más?,Se definiría mediante un diagrama de clases y una tabla de coherencia.
¿De qué partes consta la documentación de un proyecto de desarrollo de Software? Puedes tomar como referencia el reglamento de TFG de la EPIG,Memoria presupuestos del desarrollo efectuado documentos técnicos manual de usuario e instalador si es necesario y aplicacion instalable.
Detallar en que consiste el análisis de consistencia, Garantizar la calidad de los distintos modelos generados en el ASI y asegurar que usuarios/clientes y analistas tengan el mismo concepto del sistema.
En la fase de diseño describir las actividades relacionadas con el diseño de clases y el diseño físico de datos,"Indentificar las clases que intervienen en los casos de uso a nivel de diseño, luego partiendo de los escenarios detallarlos teniendo en cuenta que ahora se conoce el entorno tecnológico, identificar las clases que completan el modelo de dominio, las clases pueden verse modificadas por el entorno tecnológico como atributos o operaciones, el desarrollo del modelo de datos a nivel físico, determinar como convertir las clases a tablas claves primarias ajenas"
Indica la relación entre los procesos de desarrollo y los procesos de pruebas,Están intrínsecamente relacionados ya que están integradas en todas las etapas del ciclo de vida del software.
¿Qué objetivos tiene el proceso ASI de metodología Métrica? Indica brevemente que productos deben obtenerse en las primeras dos actividades de la metodología y si en paralelo deben ir realizándose otras actividades,null
¿Qué debe especificarse en un análisis detallado sobre cada caso de uso?,"El flujo principal, el flujo alternativo, y una descripción del caso de uso"
Indica como se debe especificar un modelo de dominio ¿Basta con poner un diagrama o es necesario poner algo más?, Se definiría mediante un diagrama de clases y una tabla de coherencia
"¿En que consiste la trazabilidad de requisitos? Explícalo, indica en que proceso de métrica se realiza y pon un breve ejemplo",Se realiza en el ASI y se hace un análisis detallado de todos los requisitos del sistema diviéndolos en requisitos funcionales y no funcionales
Explica las características de la arquitectura cliente-servidor y sus ventajas e inconvenientes,"Facil distribución, distribución de datos real, gestor en cada servidor por ende redundancia, dificil controlar que servicios están disponibles"
