Pregunta,Respuesta
¿Cuál es la capital de Francia?,París
¿Cuántos lados tiene un octágono?,8
¿Quién escribió "Romeo y Julieta"?,William Shakespeare
¿Cuál es la fórmula química del agua?,H2O
¿Cuál es el animal más grande del mundo?,Ballena azul
¿Cuántos planetas hay en nuestro sistema solar?,8
¿En qué año llegó el hombre a la luna por primera vez?,1969
¿Cuál es el metal más abundante en la corteza terrestre?,Aluminio
¿Quién pintó La Última Cena?,Leonardo da Vinci
¿Cuál es el símbolo químico del hierro?,Fe
¿Cuál es el país más poblado del mundo?,China
¿En qué continente se encuentra el río Amazonas?,América del Sur
¿Cuál es el océano más grande del mundo?,Océano Pacífico
¿Cuál es la montaña más alta del mundo?,Monte Everest
¿Qué animal representa a la marca de coches Ferrari?,Cavallino Rampante
¿Cuál es el idioma más hablado del mundo?,Chino mandarín
¿Quién escribió "1984"?,George Orwell
¿Cuál es el número atómico del hidrógeno?,1
¿En qué año comenzó la Segunda Guerra Mundial?,1939
¿Cuál es el río más largo del mundo?,Nilo
¿Cuál es el país más grande del mundo por superficie?,Rusia
¿Quién pintó "La noche estrellada"?,Vincent van Gogh
¿Cuál es el símbolo químico del oxígeno?,O
¿Cuál es la ciudad más poblada de Estados Unidos?,Nueva York
¿Cuál es el planeta más cercano al sol?,Mercurio
¿Quién escribió "Cien años de soledad"?,Gabriel García Márquez
¿Cuál es el símbolo químico del oro?,Au
¿En qué año terminó la Primera Guerra Mundial?,1918
¿Cuál es el desierto más grande del mundo?,Desierto del Sahara
¿Quién pintó "La Gioconda"?,Leonardo da Vinci
¿Cuál es el número atómico del carbono?,6
¿En qué año se fundó Apple?,1976
¿Cuál es la capital de España?,Madrid
¿Quién escribió "Don Quijote de la Mancha"?,Miguel de Cervantes
¿Cuál es el símbolo químico del sodio?,Na
¿Cuál es la moneda oficial de Japón?,Yen
¿Cuál es el océano más pequeño del mundo?,Océano Ártico
¿Cuál es la montaña más alta de América?,Monte Aconcagua
¿Quién pintó "Los girasoles"?,Vincent van Gogh
¿Cuál es el idioma oficial de Brasil?,Portugués
¿Cuál es el número atómico del hierro?,26
¿En qué año se fundó Microsoft?,1975
¿Cuál es la capital de Italia?,Roma
¿Quién escribió "El Principito"?,Antoine de Saint-Exupéry
¿Cuál es el símbolo químico del carbono?,C
¿Cuál es la moneda oficial de México?,Peso
¿Cuál es el océano más profundo del mundo?,Océano Pacífico
¿Cuál es la montaña más alta de Europa?,Monte Elbrus
¿Quién pintó "La persistencia de la memoria"?,Salvador Dalí
¿Cuál es el idioma oficial de China?,Chino mandarín
¿Cuál es el número atómico del oxígeno?,8
¿En qué año se fundó Google?,1998
¿Cuál es la capital de Argentina?,Buenos Aires
¿Quién escribió "Orgullo y prejuicio"?,Jane Austen
¿Cuál es el símbolo químico del nitrógeno?,N
¿Cuál es la moneda oficial de Canadá?,Dólar canadiense
¿Cuál es el océano más joven del mundo?,Océano Atlántico
¿Cuál es la montaña más alta de África?,Monte Kilimanjaro
¿Quién pintó "La noche estrellada"?,Vincent van Gogh
¿Cuál es el idioma oficial de Alemania?,Alemán
¿Cuál es el número atómico del sodio?,11
¿En qué año se fundó Facebook?,2004
¿Cuál es la capital de Brasil?,Brasilia
¿Quién escribió "Moby Dick"?,Herman Melville
¿Cuál es el símbolo químico del calcio?,Ca
¿Cuál es la moneda oficial de Australia?,Dólar australiano
¿Cuál es el océano más salado del mundo?,Océano Índico
¿Cuál es la montaña más alta de América del Norte?,Monte Denali
¿Quién pintó "La persistencia de la memoria"?,Salvador Dalí
¿Cuál es el idioma oficial de Rusia?,Ruso
¿Cuál es el número atómico del carbono?,6
¿En qué año se fundó Tesla?,2003
¿Cuál es la capital de Canadá?,Ottawa
¿Quién escribió "Ulises"?,James Joyce
¿Cuál es el símbolo químico del plata?,Ag
¿Cuál es la moneda oficial de Reino Unido?,Libra esterlina
¿Cuál es el océano más cálido del mundo?,Océano Índico
¿Cuál es la montaña más alta de Oceanía?,Monte Puncak Jaya
¿Quién pintó "El Grito"?,Edvard Munch
¿Cuál es el idioma oficial de India?,Hindi
¿Cuál es el número atómico del nitrógeno?,7
¿En qué año se fundó Amazon?,1994
¿Cuál es la capital de China?,Pekín
¿Quién escribió "En busca del tiempo perdido"?,Marcel Proust
¿Cuál es el símbolo químico del cobre?,Cu
¿Cuál es la moneda oficial de Francia?,Euro
¿Cuál es el océano más frío del mundo?,Océano Ártico
¿Cuál es la montaña más alta de Sudamérica?,Monte Aconcagua
¿Quién pintó "La persistencia de la memoria"?,Salvador Dalí
¿Cuál es el idioma oficial de Estados Unidos?,Inglés
¿Cuál es el número atómico del oxígeno?,8
¿En qué año se fundó Twitter?,2006
¿Cuál es la capital de Australia?,Canberra
¿Quién escribió "La Odisea"?,Homero
¿Cuál es el símbolo químico del zinc?,Zn
¿Cuál es la moneda oficial de España?,Euro
¿Cuál es el océano más profundo del mundo?,Océano Pacífico
¿Cuál es la montaña más alta de Norteamérica?,Monte Denali
¿Quién pintó "La noche estrellada"?,Vincent van Gogh
¿Cuál es el idioma oficial de Japón?,Japonés
¿Cuál es el número atómico del sodio?,11
¿En qué año se fundó Wikipedia?,2001
¿Cuál es la capital de México?,Ciudad de México
¿Quién escribió "Crónica de una muerte anunciada"?,Gabriel García Márquez
¿Cuál es el símbolo químico del plomo?,Pb
¿Cuál es la moneda oficial de Italia?,Euro
¿Cuál es el océano más grande del mundo?,Océano Pacífico
¿Cuál es la montaña más alta de Asia?,Monte Everest
¿Quién pintó "La última cena"?,Leonardo da Vinci
¿Cuál es el idioma oficial de Francia?,Francés
¿Cuál es el número atómico del carbono?,6
¿En qué año se fundó PayPal?,1998
¿Cuál es la capital de España?,Madrid
¿Quién escribió "Don Quijote de la Mancha"?,Miguel de Cervantes
¿Cuál es el símbolo químico del potasio?,K
¿Cuál es la moneda oficial de China?,Yuan
¿Cuál es el océano más pequeño del mundo?,Océano Ártico
¿Cuál es la montaña más alta de Europa?,Monte Elbrus
¿Quién pintó "La noche estrellada"?,Vincent van Gogh
¿Cuál es el idioma oficial de Alemania?,Alemán
¿Cuál es el número atómico del oxígeno?,8
¿En qué año se fundó Netflix?,1997
¿Cuál es la capital de Argentina?,Buenos Aires
¿Quién escribió "Cien años de soledad"?,Gabriel García Márquez
¿Cuál es el símbolo químico del cloro?,Cl
¿Cuál es la moneda oficial de Japón?,Yen
¿Cuál es el océano más joven del mundo?,Océano Atlántico
¿Cuál es la montaña más alta de América?,Monte Aconcagua
¿Quién pintó "Los girasoles"?,Vincent van Gogh
¿Cuál es el idioma oficial de Brasil?,Portugués
¿Cuál es el número atómico del hierro?,26
¿En qué año se fundó Apple?,1976
¿Cuál es la capital de Italia?,Roma
¿Quién escribió "El Principito"?,Antoine de Saint-Exupéry
¿Cuál es el símbolo químico del carbono?,C
¿Cuál es la moneda oficial de México?,Peso
¿Cuál es el océano más profundo del mundo?,Océano Pacífico
¿Cuál es la montaña más alta de Europa?,Monte Elbrus
¿Quién pintó "La persistencia de la memoria"?,Salvador Dalí
¿Cuál es el idioma oficial de China?,Chino mandarín
¿Cuál es el número atómico del oxígeno?,8
¿En qué año se fundó Google?,1998
¿Cuál es la capital de Brasil?,Brasilia
¿Quién escribió "Moby Dick"?,Herman Melville
¿Cuál es el símbolo químico del calcio?,Ca
¿Cuál es la moneda oficial de Australia?,Dólar australiano
¿Cuál es el océano más salado del mundo?,Océano Índico
¿Cuál es la montaña más alta de América del Norte?,Monte Denali
¿Quién pintó "La persistencia de la memoria"?,Salvador Dalí
¿Cuál es el idioma oficial de Rusia?,Ruso
¿Cuál es el número atómico del carbono?,6
¿En qué año se fundó Tesla?,2003
¿Cuál es la capital de Canadá?,Ottawa
¿Quién escribió "Ulises"?,James Joyce
¿Cuál es el símbolo químico del plata?,Ag
¿Cuál es la moneda oficial de Reino Unido?,Libra esterlina
¿Cuál es el océano más frío del mundo?,Océano Ártico
¿Cuál es la montaña más alta de Oceanía?,Monte Puncak Jaya
¿Quién pintó "El Grito"?,Edvard Munch
¿Cuál es el idioma oficial de India?,Hindi
¿Cuál es el número atómico del nitrógeno?,7
¿En qué año se fundó Amazon?,1994
¿Cuál es la capital de China?,Pekín
¿Quién escribió "En busca del tiempo perdido"?,Marcel Proust
¿Cuál es el símbolo químico del cobre?,Cu
¿Cuál es la moneda oficial de Francia?,Euro
¿Cuál es el océano más frío del mundo?,Océano Ártico
¿Cuál es la montaña más alta de Oceanía?,Monte Puncak Jaya
¿Quién pintó "El Grito"?,Edvard Munch
¿Cuál es el idioma oficial de India?,Hindi
¿Cuál es el número atómico del nitrógeno?,7
¿En qué año se fundó Amazon?,1994
¿Cuál es la capital de China?,Pekín
¿Quién escribió "En busca del tiempo perdido"?,Marcel Proust
¿Cuál es el símbolo químico del cobre?,Cu
¿Cuál es la moneda oficial de Francia?,Euro
¿Cuál es el océano más frío del mundo?,Océano Ártico
